mercedes,Mercedes-Benz Klasa R 350 CDI 4-Matic,2011,diesel
volkswagen,Volkswagen CC 2.0 TDI DPF BMT DSG,2014,diesel
mercedes,Mercedes-Benz Klasa G AMG 63,2022,petrol
bmw,BMW Seria 3 318i,2017,petrol
ford,Ford Puma 1.0 EcoBoost Trend,2021,petrol
skoda,Skoda Kodiaq 1.5 TSI ACT 4x2 Ambition DSG,1993,petrol
bmw,BMW Seria 3 318i Advantage,2022,petrol
skoda,Skoda Kodiaq 1.5 TSI ACT 4x2 Ambition DSG,2023,petrol
ford,Ford Puma 1.0 EcoBoost Trend,2021,petrol
mini,MINI Countryman Cooper SE ALL4,2023,hybrid
bmw,BMW M8 Competition,2023,petrol
"","","",""
skoda,Skoda Kodiaq 1.5 TSI ACT 4x2 Ambition DSG,2023,petrol
hyundai,Hyundai I30 1.6 CRDi Comfort,2016,diesel
mini,MINI Countryman Cooper SE ALL4,2023,hybrid
bmw,BMW M8 Competition,2023,petrol
bmw,BMW Seria 3 318i Advantage,2022,petrol
jeep,Jeep Cherokee,1993,petrol
ford,Ford Mustang Mach-E RWD,2022,electric
mini,MINI John Cooper Works sport,2023,petrol
volkswagen,Volkswagen T-Roc 1.0 TSI Life,2023,petrol
dacia,Dacia Dokker Van,2015,petrol
audi,Audi RS Q3,2021,petrol
peugeot,Peugeot 407,2009,diesel
mazda,Mazda Premacy,2005,petrol
lancia,Lancia Ypsilon Y 0.9 TwinAir Turbo 8V Automatik Gold,2015,petrol
skoda,Skoda Octavia 2.0 TDI SCR 4x4 Style DSG,2020,diesel
volkswagen,Volkswagen T-Roc 1.5 TSI Life DSG,2023,petrol
volkswagen,Volkswagen T-Roc 1.5 TSI Life,2023,petrol
ford,Ford Mondeo,2019,hybrid
nissan,Nissan Qashqai 1.3 DIG-T mHEV Acenta,2022,petrol
opel,Opel Mokka,2017,diesel
mazda,Mazda 6 2.2 D Skypassion I-ELoop 4x4,2016,diesel
volkswagen,Volkswagen Touran 1.6 Basis,2003,petrol
ford,Ford Focus 2.3 EcoBoost ST Edition,2021,petrol
audi,Audi A6 2.8 FSI Quattro Tiptronic,2009,petrol
mclaren,McLaren 720S Coupe,2021,petrol
bmw,BMW X4 xDrive20d M Sport sport,2021,diesel
volkswagen,Volkswagen Golf VI 1.6 TDI Highline DSG,2021,petrol
volkswagen,Volkswagen Golf VI 1.6 TDI Highline DSG,2012,diesel
bmw,BMW X4 xDrive20d M Sport sport,2021,diesel
mercedes,Mercedes-Benz Klasa S,2017,petrol
mercedes,Mercedes-Benz Klasa S 560 4-Matic 9G-TRONIC,2018,petrol
mercedes,Mercedes-Benz GLB,2021,petrol
"","","",""
opel,Opel Grandland X,2022,petrol
peugeot,Peugeot 308 SW BlueHDi 180 EAT6 GT,2016,diesel
mercedes,Mercedes-Benz GLE,2020,diesel
mercedes,Mercedes-Benz Klasa A,2020,hybrid
mercedes,Mercedes-Benz GLE,2022,hybrid
opel,Opel Grandland X 1.2 T GPF Ultimate S&S,2022,petrol
mercedes,Mercedes-Benz Klasa B,2019,petrol
toyota,Toyota Corolla,2020,hybrid
nissan,Nissan Qashqai 1.3 DIG-T mHEV N-Connecta Xtronic,2022,petrol
bmw,BMW X5 M M50i,2023,petrol
hyundai,Hyundai Tucson 1.6 T-GDi Modern 2WD,2023,petrol
mercedes,Mercedes-Benz CLA,2021,petrol
skoda,Skoda Enyaq,2022,electric
opel,Opel Grandland X,2018,petrol
land,Land Rover Discovery Sport 2.0 P250 mHEV R-Dynamic HSE,2022,petrol
mercedes,Mercedes-Benz Klasa E 220 d 4-Matic 9G-TRONIC,2017,diesel
opel,Opel Grandland X,2022,diesel
mercedes,Mercedes-Benz GLC,2018,petrol
opel,Opel Grandland X,2018,diesel
